worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date,earnings_outlier_flag,earnings_per_day_was_missing,hours_worked_was_missing,jobs_completed_was_missing,rating_was_missing,year,month,day,day_of_week,is_weekend
1,Swiggy,Delhi,450.0,8.0,20,4.5,2024-01-01,0,0,0,0,0,2024,1,1,0,0
2,Zomato,Mumbai,600.0,10.0,25,4.2,2024-01-01,0,0,0,0,0,2024,1,1,0,0
3,Uber,Bangalore,1500.0,12.0,40,4.8,2024-01-02,0,0,0,0,0,2024,1,2,1,0
4,Swiggy,Pune,410.0,9.0,22,4.1,2024-01-02,0,1,0,0,0,2024,1,2,1,0
5,Freelancer,Delhi,2000.0,10.0,5,4.9,2024-01-03,0,0,0,0,0,2024,1,3,2,0
6,Uber,Chennai,850.2,11.0,35,4.8,2024-01-03,1,0,1,0,1,2024,1,3,2,0
7,Swiggy,Pune,410.0,9.0,22,4.0,2024-01-04,0,1,0,0,0,2024,1,4,3,0
8,Zomato,Mumbai,600.0,11.0,28,4.3,2024-01-04,0,0,0,0,0,2024,1,4,3,0
9,Uber,Bangalore,1200.0,11.0,32,4.7,2024-01-05,0,0,1,0,0,2024,1,5,4,0
10,Freelancer,Delhi,5000.0,6.0,3,5.0,2024-01-05,0,0,0,0,0,2024,1,5,4,0
11,Swiggy,Delhi,300.0,7.0,15,4.2,2024-01-06,0,0,0,0,0,2024,1,6,5,1
12,Zomato,Mumbai,700.0,9.0,30,4.6,2024-01-06,0,0,0,0,0,2024,1,6,5,1
13,Uber,Bangalore,10000.0,10.0,50,4.9,2024-01-07,0,0,0,0,0,2024,1,7,6,1
14,Swiggy,Pune,528.9999999999999,0.0,18,4.0,2024-01-07,1,0,0,0,0,2024,1,7,6,1
15,Freelancer,Delhi,1938.0,8.0,3,4.8,2024-01-08,1,0,0,1,0,2024,1,8,0,0
16,Uber,Chennai,900.0,10.0,33,4.8,2024-01-08,0,0,0,0,1,2024,1,8,0,0
17,Swiggy,Pune,400.0,8.0,20,4.1,2024-01-09,0,0,0,0,0,2024,1,9,1,0
18,Zomato,Mumbai,650.0,10.0,27,4.3,2024-01-09,0,0,0,0,0,2024,1,9,1,0
19,Uber,Bangalore,1275.0,11.0,35,4.7,2024-01-10,0,1,0,0,0,2024,1,10,2,0
20,Freelancer,Delhi,2200.0,7.0,6,4.9,2024-01-10,0,0,0,0,0,2024,1,10,2,0
21,Swiggy,Delhi,350.0,6.0,14,4.0,2024-01-11,0,0,0,0,0,2024,1,11,3,0
22,Zomato,Mumbai,800.0,10.0,29,4.4,2024-01-11,0,0,0,0,0,2024,1,11,3,0
23,Uber,Bangalore,1300.0,11.0,38,4.8,2024-01-12,0,0,0,0,0,2024,1,12,4,0
24,Swiggy,Pune,410.0,9.0,21,4.2,2024-01-12,0,1,0,0,0,2024,1,12,4,0
25,Freelancer,Delhi,2500.0,8.0,7,4.7,2024-01-13,0,0,0,0,0,2024,1,13,5,1
26,Uber,Chennai,950.0,10.0,36,4.8,2024-01-13,0,0,0,0,1,2024,1,13,5,1
27,Swiggy,Pune,420.0,7.0,19,4.1,2024-01-14,0,0,0,0,0,2024,1,14,6,1
28,Zomato,Mumbai,720.0,9.0,28,4.3,2024-01-14,0,0,0,0,0,2024,1,14,6,1
29,Uber,Bangalore,1400.0,12.0,42,4.9,2024-01-15,0,0,0,0,0,2024,1,15,0,0
